Date,Close,High,Low,Open,Volume
23-12-2016,2500,2500,2500,2500,0
26-12-2016,2500,2500,2500,2500,0
27-12-2016,2500,2500,2500,2500,0
28-12-2016,2600,2600,2600,2600,51
29-12-2016,2600,2600,2600,2600,0
30-12-2016,2600,2600,2600,2600,0
02-01-2017,2600,2600,2600,2600,0
03-01-2017,2600,2600,2600,2600,0
04-01-2017,2600,2600,2600,2600,0
05-01-2017,2789,2789,2649,2650,7
06-01-2017,2789,2789,2789,2789,0
09-01-2017,2789,2789,2789,2789,0
10-01-2017,2789,2789,2789,2789,0
11-01-2017,2789,2789,2789,2789,0
12-01-2017,2700,2700,2700,2700,1
13-01-2017,2700,2700,2700,2700,0
16-01-2017,2700,2700,2700,2700,1
17-01-2017,2700,2700,2700,2700,0
18-01-2017,2750,2750,2750,2750,10
19-01-2017,2730,2730,2730,2730,3
20-01-2017,2730,2730,2730,2730,0
23-01-2017,2730,2730,2730,2730,0
24-01-2017,2730,2730,2730,2730,0
25-01-2017,2730,2730,2730,2730,0
27-01-2017,2700,2720,2700,2720,2
30-01-2017,2700,2700,2700,2700,0
31-01-2017,2700,2700,2700,2700,0
01-02-2017,2700,2700,2700,2700,0
02-02-2017,2700,2700,2700,2700,0
03-02-2017,2700,2700,2700,2700,0
06-02-2017,2700,2700,2700,2700,0
07-02-2017,2700,2700,2700,2700,0
08-02-2017,2671,2879,2671,2879,6
09-02-2017,2671,2671,2671,2671,0
10-02-2017,2671,2671,2671,2671,0
13-02-2017,2671,2671,2671,2671,0
14-02-2017,2671,2671,2671,2671,0
15-02-2017,2671,2671,2671,2671,0
16-02-2017,2671,2671,2671,2671,0
17-02-2017,2671,2671,2671,2671,0
20-02-2017,2726,2750,2702,2750,2
21-02-2017,2755,2755,2683.01001,2683.01001,2
22-02-2017,2755,2755,2755,2755,0
23-02-2017,2755,2755,2755,2755,0
27-02-2017,2755,2755,2755,2755,0
28-02-2017,2755,2755,2755,2755,0
01-03-2017,2775,2775,2775,2775,2
02-03-2017,2699.189941,2700,2683.050049,2700,21
03-03-2017,2699.189941,2699.189941,2699.189941,2699.189941,0
06-03-2017,2699.189941,2699.189941,2699.189941,2699.189941,0
07-03-2017,2699.189941,2699.189941,2699.189941,2699.189941,0
08-03-2017,2602.25,2641.25,2602.25,2641.25,3
09-03-2017,2650,2700,2650,2700,28
10-03-2017,2650,2650,2650,2650,0
14-03-2017,2650,2655,2650,2655,2
15-03-2017,2655,2655,2655,2655,1
16-03-2017,2675,2676,2649,2649,36
17-03-2017,2675,2675,2675,2675,0
20-03-2017,2675,2675,2675,2675,0
21-03-2017,2675,2675,2675,2675,0
22-03-2017,2675,2675,2675,2675,0
23-03-2017,2675,2675,2675,2675,0
24-03-2017,2611.01001,2611.01001,2611.01001,2611.01001,1
27-03-2017,2720,2720,2720,2720,6
28-03-2017,2720,2720,2720,2720,0
29-03-2017,2720,2720,2720,2720,0
30-03-2017,2720,2720,2720,2720,0
31-03-2017,2650,2650,2650,2650,3
03-04-2017,2650,2650,2650,2650,0
05-04-2017,2650,2665,2605,2665,52
06-04-2017,2625,2625,2625,2625,14
07-04-2017,2710,2710,2710,2710,41
10-04-2017,2710,2710,2710,2710,0
11-04-2017,2710,2710,2710,2710,10
12-04-2017,2710,2710,2710,2710,0
13-04-2017,2710,2710,2710,2710,0
17-04-2017,2710,2710,2710,2710,0
18-04-2017,2710,2710,2710,2710,0
19-04-2017,2710,2710,2710,2710,0
20-04-2017,2710,2710,2710,2710,0
21-04-2017,2710,2710,2710,2710,0
24-04-2017,2710,2710,2710,2710,0
25-04-2017,2710,2710,2710,2710,0
26-04-2017,2641,2641,2641,2641,1
27-04-2017,2641,2641,2641,2641,0
28-04-2017,2641,2641,2641,2641,0
02-05-2017,2641,2641,2641,2641,0
03-05-2017,2641,2641,2641,2641,0
04-05-2017,2641,2641,2641,2641,0
05-05-2017,2662,2662,2662,2662,11
08-05-2017,2662,2662,2662,2662,0
09-05-2017,2662,2662,2662,2662,0
10-05-2017,2662,2662,2662,2662,0
11-05-2017,2579.280029,2581.649902,2578.050049,2578.050049,44
12-05-2017,2579.280029,2579.280029,2579.280029,2579.280029,0
15-05-2017,2579.280029,2579.280029,2579.280029,2579.280029,0
16-05-2017,2579,2579,2579,2579,11
17-05-2017,2616.600098,2616.600098,2616.600098,2616.600098,22
18-05-2017,2616.600098,2616.600098,2616.600098,2616.600098,0
19-05-2017,2616.600098,2616.600098,2616.600098,2616.600098,0
22-05-2017,2592,2592,2592,2592,14
23-05-2017,2592,2592,2592,2592,0
24-05-2017,2700,2700,2700,2700,20
25-05-2017,2700,2700,2700,2700,0
26-05-2017,2700,2700,2700,2700,0
29-05-2017,2700,2700,2700,2700,0
30-05-2017,2700,2700,2700,2700,15
31-05-2017,2700,2700,2700,2700,0
01-06-2017,2691,2691,2691,2691,1
02-06-2017,2618.100098,2618.100098,2618.100098,2618.100098,5
