ds,Open,Volume,Close,Close_Lag1,MA7
2021-05-20,4320.263201706349,23.76788875400351,4316.624114390961,4322.98185739123,4331.57187926975
2021-05-21,4316.115568886703,23.117660973778815,4317.821545072162,4316.624114390961,4327.6210060397625
2021-05-24,4312.791835106116,22.456708003223476,4309.766352169863,4317.821545072162,4322.911385396465
2021-05-25,4307.641202270673,25.618076308394667,4303.869405686383,4309.766352169863,4318.127320023193
2021-05-26,4303.227536675827,19.477866558104513,4300.591493496722,4303.869405686383,4313.857502015403
2021-05-27,4296.958421801849,23.366440585806146,4293.209059061904,4300.591493496722,4309.2662610384605
2021-05-28,4291.705109325727,22.58361334223104,4293.310290628685,4293.209059061904,4305.0274657866685
2021-05-31,4284.976332971263,21.487950133117856,4282.012661350106,4293.310290628685,4300.082972495117
2021-06-01,4278.840397398486,24.519964912909277,4275.218629007381,4282.012661350106,4293.996841628721
2021-06-02,4273.607103408276,18.27086313213989,4271.218747475939,4275.218629007381,4288.49004095816
2021-06-03,4266.735474660811,22.0772831492787,4263.335359730283,4271.218747475939,4282.699462964431
2021-06-04,4261.14370599859,21.244091518089792,4263.197653628153,4263.335359730283,4277.35748584035
2021-06-07,4255.3534440778585,20.21672627250943,4253.063903886409,4263.197653628153,4271.622463672423
2021-06-08,4250.262582421439,23.346226109053585,4247.346422735821,4253.063903886409,4265.056196830585
2021-06-09,4246.456523522138,17.22870634719946,4244.775106363315,4247.346422735821,4259.736546118186
2021-06-10,4241.3880736651745,21.19652780718061,4238.662288810322,4244.775106363315,4254.51421180432
2021-06-11,4237.9584321448465,20.54891153950575,4240.617416073659,4238.662288810322,4250.142593032566
2021-06-14,4240.484412843129,20.150714786281178,4238.362712374338,4240.617416073659,4246.575071981716
2021-06-15,4238.621762936137,23.48631605463659,4235.654800612065,4238.362712374338,4242.6403786937035
2021-06-16,4238.17610782743,17.558452437794994,4236.193916320132,4235.654800612065,4240.23038046995
2021-06-17,4236.534387972175,21.6909163857517,4233.231538321728,4236.193916320132,4238.213968410794
2021-06-18,4236.528734720854,21.1749472992418,4238.314211731629,4233.231538321728,4237.29098346341
